ward_id,ward_num,ward_name,zone_name,area_sqm,area_sqkm,population_2011,density_2011,updated_population_2023,slum_percentage,centroid_lon,centroid_lat,mean_aqi,mean_electricity_kwh,mean_water_liters,mean_traffic_speed_kmph,green_cover_ratio,built_density_score,compactness_score,sprawl_index,electricity_stress_index,water_stress_index,sewage_stress_index,pollution_stress_index,mobility_stress_index,amenity_gap_score,transport_gap_score,resource_gap_score
ward_148,148,Ejipura,172-B.T.M. LAYOUT,3029500.2538567907,3.029500253856791,47004,15515.43,56199,9.7,77.65658955384096,12.987726783134109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_149,149,Varthuru,174-MAHADEVAPURA (SC),1353908.9764638217,1.3539089764638217,54625,40346.14,65311,22.12,77.57720543682052,12.899884372631698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_150,150,Bellanduru,174-MAHADEVAPURA (SC),5473991.502827782,5.473991502827782,80180,14647.45,95865,8.94,77.53933911676253,13.046423575269323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_151,151,Koramangala,172-B.T.M. LAYOUT,4434349.980467449,4.434349980467449,38316,8640.73,45811,4.09,77.5595778302366,13.055416986102191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_152,152,Suddagunte Palya,172-B.T.M. LAYOUT,1235097.552764853,1.235097552764853,39997,32383.68,47821,19.09,77.5010961432047,12.997440803589313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_153,153,Jayanagar,169-CHICKPET,2570834.15371153,2.57083415371153,38151,14839.93,45614,9.24,77.65175233195923,13.013985155788019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_154,154,Basavanagudi,170-BASAVANAGUDI,1815214.6976192023,1.8152146976192023,32640,17981.34,39025,10.76,77.58703658782525,12.896890576414837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_155,155,Hanumanth Nagar,170-BASAVANAGUDI,4468207.916623614,4.468207916623614,36982,8276.7,44216,3.79,77.49683150001778,12.96117179982269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_156,156,Srinagar,170-BASAVANAGUDI,3579464.6290232306,3.5794646290232306,41379,11560.11,49473,6.21,77.59970981684178,12.89623336293682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_157,157,Gali Anjenaya Temple ward,167-VIJAYA NAGAR,1383449.9958436114,1.3834499958436115,34653,25048.25,41432,15.76,77.62372702939386,12.906102470714647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_158,158,Deepanjali Nagar,167-VIJAYA NAGAR,4779090.200105511,4.779090200105511,45928,9610.2,54912,5.0,77.50509461017819,13.02042620120956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ward_159,159,Kengeri,153-YESHVANTHAPURA,8369607.592207206,8.369607592207206,40771,4871.32,48747,0.91,77.52116240659893,12.914925438498392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
