park_id,park_name,area_sqkm,lat,lon,amenities_available,h3_index,index_right,ward_id
kmlpark_38,,0.07509,13.094428,77.587782,,8860169647fffff,197.0,ward_198
kmlpark_39,,0.05432,13.095797,77.581688,,886016960dfffff,197.0,ward_198
kmlpark_40,,0.06818,13.096737,77.579928,,886016960dfffff,197.0,ward_198
kmlpark_41,,0.09497,13.097605,77.581023,,886016960dfffff,197.0,ward_198
kmlpark_42,,0.10931,13.09825,77.579699,,8860169601fffff,197.0,ward_198
kmlpark_43,,0.0567,13.095703,77.581462,,886016960dfffff,197.0,ward_198
kmlpark_44,,0.01149,13.098315,77.576892,,8860169601fffff,197.0,ward_198
kmlpark_45,,0.11043,13.096229,77.576968,,8860169601fffff,197.0,ward_198
kmlpark_46,,0.05922,13.0959,77.57724,,8860169601fffff,197.0,ward_198
kmlpark_47,,0.05578,13.097407,77.586323,,886016960dfffff,197.0,ward_198
kmlpark_48,,0.02196,13.09893,77.582574,,886016960dfffff,197.0,ward_198
kmlpark_49,,0.04264,13.095845,77.579221,,8860169601fffff,197.0,ward_198
kmlpark_50,,0.04482,13.094905,77.577562,,8860169601fffff,197.0,ward_198
kmlpark_51,,0.0594,13.082259,77.586865,,8860169643fffff,197.0,ward_198
kmlpark_52,,0.03623,13.083141,77.587499,,8860169643fffff,197.0,ward_198
kmlpark_53,,0.03052,13.079095,77.590355,,886016964bfffff,197.0,ward_198
kmlpark_54,,0.07632,13.073092,77.599477,,8860169649fffff,190.0,ward_191
kmlpark_55,,0.05968,13.069294,77.610412,,8861892ca1fffff,190.0,ward_191
kmlpark_56,,0.07696,13.054658,77.602396,,8861892c87fffff,160.0,ward_161
kmlpark_57,,0.09204,13.069735,77.628073,,8861892ddbfffff,190.0,ward_191
kmlpark_58,,0.04647,13.079006,77.593457,,8860169649fffff,190.0,ward_191
kmlpark_59,,0.05153,13.059301,77.590664,,8861892cb1fffff,133.0,ward_134
kmlpark_60,,0.02225,13.049733,77.605014,,8861892c81fffff,133.0,ward_134
kmlpark_61,,0.05039,13.058005,77.591249,,8861892cb9fffff,133.0,ward_134
kmlpark_62,,0.07413,13.057632,77.598194,,8861892cbdfffff,133.0,ward_134
kmlpark_63,,0.05463,13.059691,77.590044,,8861892cb1fffff,133.0,ward_134
kmlpark_64,,0.00686,13.063383,77.585424,,8861892cb1fffff,133.0,ward_134
kmlpark_65,,0.06889,13.051439,77.590248,,8861892cb9fffff,133.0,ward_134
kmlpark_66,,0.05542,13.062497,77.586243,,8861892cb1fffff,133.0,ward_134
kmlpark_67,,0.04454,13.062889,77.581928,,8861892cb3fffff,179.0,ward_180
kmlpark_68,,0.0615,13.054751,77.574316,,886014596dfffff,141.0,ward_142
kmlpark_69,,0.0162,13.080096,77.556566,,8860169619fffff,180.0,ward_181
kmlpark_70,,0.03947,13.078423,77.555505,,8860145925fffff,180.0,ward_181
kmlpark_71,,0.00041,13.083787,77.5619,,8860169619fffff,180.0,ward_181
kmlpark_72,,0.0346,13.083128,77.56311,,8860169657fffff,180.0,ward_181
kmlpark_73,,0.02288,13.082466,77.56235,,8860169619fffff,180.0,ward_181
kmlpark_74,,0.01183,13.071171,77.556747,,886014592dfffff,180.0,ward_181
kmlpark_75,,0.0718,13.076046,77.554539,,8860145925fffff,180.0,ward_181
kmlpark_76,,0.00208,13.073302,77.55668,,8860145925fffff,180.0,ward_181
kmlpark_77,,0.02368,13.084761,77.563702,,8860169657fffff,180.0,ward_181
kmlpark_78,,0.03747,13.071076,77.556855,,886014592dfffff,180.0,ward_181
kmlpark_79,,0.07483,13.083713,77.557349,,8860169619fffff,183.0,ward_184
kmlpark_80,,0.07223,13.070448,77.527119,,8860145937fffff,195.0,ward_196
kmlpark_81,,0.04611,13.071366,77.529119,,88601696cbfffff,195.0,ward_196
kmlpark_82,,0.06752,13.070317,77.527252,,8860145937fffff,195.0,ward_196
kmlpark_83,,0.0666,13.067068,77.503779,,88601696dbfffff,,ward_195
kmlpark_84,,0.03217,13.070793,77.5091,,88601696dbfffff,,ward_196
