h3_id,centroid_lat,centroid_lon,ward_id,hex_area_sqm,total_buildings,total_footprint_m2,builtup_pct,avg_floors,avg_height_m
8861892593fffff,12.933668033755218,77.57279789393172,ward_64,759300.7263711467,1358,258702.2187555486,34.07111435174563,0.022827687776141383,30.0
8860145a43fffff,12.926261301857247,77.55162135202856,ward_85,759041.9575437962,1078,223931.6937586062,29.501886099054744,,
88618925d5fffff,12.926079401256139,77.602152757882,ward_95,759690.0379706968,883,197270.1140893764,25.9671845396748,0.020385050962627407,
886189259dfffff,12.933607829212727,77.58964292576523,ward_72,759516.7215810177,1534,269324.86230878835,35.460030655830586,0.003259452411994785,
8860145b27fffff,13.023438081825669,77.57430167872846,ward_39,759161.1596295768,390,119468.96647394176,15.736970333444765,0.08461538461538462,
886189253dfffff,12.955825855338748,77.65322217673213,ward_141,760291.3163857074,1424,267003.37858127913,35.118562165166736,0.07303370786516854,
8861892523fffff,12.96329466480747,77.65756470460241,ward_141,760333.6341788635,1368,229177.84549556277,30.141747674107258,0.015350877192982455,
8861892c9bfffff,13.030905749818029,77.57863940067654,ward_98,759203.2689089404,1657,269612.363355608,35.51253984233643,0.018708509354254676,
886014586dfffff,13.001088278217019,77.54444769854592,ward_50,758818.414629986,2117,300801.74548421305,39.640807297868434,0.0051960321209258385,
8860145951fffff,13.023538364312362,77.54061079499613,ward_108,758728.9867403602,416,162209.10858021586,21.37905779468057,0.1778846153846154,39.9
8861892c93fffff,13.038398676601663,77.57455239721565,ward_102,759137.3581987679,819,140858.9204443252,18.555129572143063,0.054945054945054944,50.0
8860145955fffff,13.031005176934363,77.54494605613043,ward_127,758771.1596984661,357,105717.7936563731,13.932763825444434,0.5014005602240896,161.5
886014595dfffff,13.023513704991183,77.54903231930481,ward_76,758837.0692441019,658,220668.23776561883,29.079791526978568,0.1519756838905775,
88618925c3fffff,12.926048129416692,77.61057744573029,ward_87,759797.9592888972,1697,218868.12846906486,28.806095856575585,0.04537418974661167,
88618925c5fffff,12.933484143327219,77.62334254233176,ward_77,759948.3959889973,1251,260888.67011154574,34.32978758669858,0.013589128697042365,
8861892ec1fffff,12.978293826573747,77.64938907665191,ward_146,760202.6385139005,844,193542.37026236582,25.459313143231988,0.1966824644549763,
8860145a29fffff,12.956182662498327,77.55212032556007,ward_37,758996.2345312726,913,123252.7304409915,16.238911977884545,,
